|img_url|sex|traits|birth|weight|diet|breeder|location|price|payments|shipping|trades|first_posted|last_updated|animal_id|group_id|origin|num_likes|snake_url|img|title
0|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/pied_pythons/2022/08/20220831150807.863-300815233_1073866993-225x190c.jpeg?signature=2C6202173D4E5B9131CA61E9912DAEB842E35CC24FCA206EA31C38C8332F21E3|male|{'Piebald', 'Banana'}||100g|Frozen/Thawed Mouse|Pied Pythons|Brentwood, England|GB£295.00 (Approx. US$357.81)||45.00-65.00 (Domestic)||08/31/22|12/07/22|22112|||2|https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1123696|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x211595D7700>|Banana Pied
1|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/pied_pythons/2022/08/20220831150816.610-300428040_1286868275-225x190c.jpeg?signature=E7E73300FEEE4023D11B4CF1F80A25E50294500DDED8A4B4A4F40560B4FFEC23|male|{'Piebald', 'Banana'}||100g|Frozen/Thawed Mouse|Pied Pythons|Brentwood, England|GB£295.00 (Approx. US$357.81)||45.00-65.00 (Domestic)||08/31/22|12/07/22|22114|||4|https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1123694|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x2115A6D0E20>|Banana Pied
2|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/eternalexotics2018/2022/08/20220807200113.589-DSC_0240-225x190c.jpeg?signature=FFAC2827B4A41C219DC4F0DC104555446B7ACDC7FEE7EABA9B00A445519DF50A|male|{'Piebald', 'Banana'}||80g|Live Mouse|Eternal Exotics|Jonesboro, Georgia|US$850.00||60.00 (Domestic)||08/07/22|12/07/22|B34.20|||0|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1064742|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x2115A6D0220>|Banana Gene X Pied
3|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/dreptiles/2022/05/20220525195832.69-69-2C-Banana-Pied-M-225x190c.jpeg?signature=A53238D2C4C62DA457BBF96A75F0055B9859C748074E1D3BFD248DBD87E21EDB|male|{'Piebald', 'Banana'}|2021|||DynastyReptiles|Miami, Florida|US$600.00||At Most 1.00 (Domestic)||05/25/22|12/07/22|69-2C_2021_5-25-22|||1|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/927490|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x211595D7160>|Banana Pied
4|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/piebaldlexy/2022/12/20221206012428.281-EF318A0D-C6C1-4978-A-225x190c.jpeg?signature=FE160133539BCBF3AE1DFF319A83FB3B148368B24252FCE93B0F68EBE2AEE851|male|{'Piebald', 'Banana'}|3rd September 2022|200g|Frozen/Thawed Mouse|SSH Pythons|Charlotte, North Carolina|US$300.00||50.00-170.00 (Domestic)||12/06/22||||Domestically Produced|0|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1341047|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x2115963CF10>|Banana Piebald Male
5|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/brewballs/2022/09/20220924185331.833-460312-225x190c.jpeg?signature=BE766D88772592E3EB0751405E7201456E59FA41CE2666870C4CE0C6E5199C13|female|{'Piebald', 'Banana'}|2022|220g|Live Rat|BrewBalls|Savannah, Georgia|US$800.00|Venmo, Zelle, CashApp, Cash|55.00-75.00 (Domestic)||09/24/22|12/06/22|22C7||Domestically Produced|4|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1186287|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x2115A672430>|Banana Piebald
6|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/dawnsroyals/2022/08/20220831184823.945-1BCC436B-441D-455C-B-225x190c.jpeg?signature=E2443BA476DD0EE401B9F6E8F15449F2368123900AFE3BE335A7E2A8E70B99A2|male|{'Piebald', 'Banana'}|2017|1400g|Frozen/Thawed Rat|Dawns royals|Peterlee, England|GB£175.00 (Approx. US$212.26)|PayPal Friends & Family, Cash, Other|55.00-65.00 (Domestic)||08/31/22|12/05/22||||1|https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1124364|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x21159576520>|Banana Pied
7|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/jconn48/2020/01/20200112200055.82-FBE50ED9-6851-481B-B-225x190c.jpeg?signature=B0F59BF4CF84FA264393D6D614331DC15FDF977968D647D9D2D49AEBA121FFFB|male|{'Piebald', 'Banana'}|2018|350g|Frozen/Thawed Mouse|US Snake Broker|Fort Salonga, New York|US$800.00||At Most 55.00 (Domestic)|No Trades|10/09/21|12/05/22|4373||Domestically Produced|18|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/296982|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x2115A6D0550>|Pinto Banana Pied
8|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/rustys-balls/2022/11/20221113143800.825-9B6DE606-ADBB-40AF-A-225x190c.jpeg?signature=38BF06E14D678290BE84C7BA2C19B51CFA9B47B467E345C14FC28A87784BDB3E|male|{'Piebald', 'Banana'}|10th October 2022||Live Rat|Rustys-balls|Pekin, Illinois|US$350.00|||No Trades|11/13/22|12/05/22|22bpm16|||1|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1301433|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x2115949D520>|Banana Pied
9|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/rustys-balls/2022/11/20221113143744.17-90E8284C-430F-4EDC-B-225x190c.jpeg?signature=1ADBE33DA8E25F5FCFDC4005825FD009A31AAF1A1B599A123F6904FB38F36131|male|{'Piebald', 'Banana'}|8th October 2022||Live Rat|Rustys-balls|Pekin, Illinois|US$350.00|||No Trades|11/13/22|12/05/22|22bpm15|||1|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1301430|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x2115A6D0B50>|Banana Pied
