|img_url|sex|traits|birth|weight|diet|breeder|location|price|payments|shipping|trades|first_posted|last_updated|animal_id|group_id|origin|num_likes|snake_url|img|title
0|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/xyzreptiles/2020/03/20200330123041.364-baby-ball-python-for-225x190c.jpeg?signature=A2537F9988FB6A7BB27B0DDB7ED27C05E408BE0DA28F894E1BF8FCBCB52D5EEB|male|{'Normal'}|1st April 2022||Frozen/Thawed Mouse|XYZReptiles|Palmetto Bay, Florida|US$69.00||55.00 (Domestic)|No Trades|10/16/21|12/07/22|A4101898m||Domestically Produced|6|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/323272|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x211591E0D00>|Baby Normal
1|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/xyzreptiles/2020/03/20200328153031.743-baby-ball-python-for-225x190c.jpeg?signature=03664DC7471918925C84F28F207C86A0D6C788F4FE63DAD92943D28157AF7953|female|{'Normal'}|1st April 2022||Frozen/Thawed Mouse|XYZReptiles|Palmetto Bay, Florida|US$69.00||55.00 (Domestic)|No Trades|10/16/21|12/07/22|A4101898f||Domestically Produced|18|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/322521|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x2115918D4C0>|Baby Normal
2|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/breederscircle/2022/08/20220820000431.289-NormalF22072-245g-225x190c.jpeg?signature=9CC0A614C74767E6AC88D3F511781D286956D5026CA777B8CC6B00D444F07826|female|{'Normal'}|2022|245g||Breeder'sCircle|Madison, Wisconsin|US$50.00|Credit Card, Debit Card, PayPal Goods & Services, PayPal Friends & Family, Venmo, Zelle, CashApp, Personal Check, Wire Transfer, Cash, Bitcoin, Dogecoin, Ethereum, Other Crypto|||03/11/22|12/07/22|F22072|||0|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/835934|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x21158021850>|Normal
3|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/woottonr/2022/12/20221206203737.75-thumb-63388f216b4d8_-225x190c.jpeg?signature=C550FC8651599A71D57AA895C8B0A051E43708025E19728CAFEB21C9BCFEB304|female|{'Normal'}|1st September 2022|126g|Live Rat|Python Antics|Albuquerque, New Mexico|US$20.00|PayPal Goods & Services, PayPal Friends & Family, Venmo, Zelle, Cash|50.00-100.00 (Domestic)|No Trades|12/06/22||0922-04|||0|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1342334|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x21157D10E50>|0922-04
4|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/woottonr/2022/12/20221206203736.565-thumb-633890f2655d1_-225x190c.jpeg?signature=7A941120E36341545217DED8E636159464F60704A99D061853989CC1CF32185F|male|{'Normal'}|1st September 2022|125g|Live Rat|Python Antics|Albuquerque, New Mexico|US$20.00|PayPal Goods & Services, PayPal Friends & Family, Venmo, Zelle, Cash|50.00-100.00 (Domestic)|No Trades|12/06/22||0922-05|||0|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1342333|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x21158021460>|0922-05
5|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/fromthedarkside/2022/11/20221111172234.79-5B9C94A9-8EE2-4709-8-225x190c.jpeg?signature=1A14CE96C564E1AFFF49F413F8108A6545413E68E03A5149EA5AD94FA3A1FD44|female|{'Normal'}|September 2022|92g|Live Mouse|FromTheDarkside|Cochran, Georgia|US$50.00|Credit Card, Debit Card, PayPal Goods & Services, PayPal Friends & Family, Venmo, CashApp, Cash, Bitcoin|||11/11/22|12/06/22|22-22-10|||0|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1298536|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x2115918DAC0>|Normal
6|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/fromthedarkside/2022/11/20221111162635.74-4018CEE2-1989-4D64-8-225x190c.jpeg?signature=FE19825CEF571E2BBA87B136FC0C5AD5CA8DD0D15964DA6F63F1CD4AEFAC3239|female|{'Normal'}|September 2022|100g|Live Mouse|FromTheDarkside|Cochran, Georgia|US$50.00|Credit Card, Debit Card, PayPal Goods & Services, PayPal Friends & Family, Venmo, CashApp, Cash, Bitcoin|||11/11/22|12/06/22|22-22-09|||0|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1298419|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x211591E0130>|Normal
7|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/roonanny10/2022/12/20221206011806.210-IMG-9117-225x190c.jpeg?signature=1584B1B831DA06B11CF169AE098FE5D3CDE2DB0C81851153959F62918EDE7F3A|female|{'Normal'}|19th September 2022|87g|Live Rat|Serenitys|Mountain Pine, Arkansas|US$50.00|Credit Card, Debit Card, PayPal Goods & Services, CashApp, Cash, Money Order|50.00-100.00 (Domestic)|No Trades|12/06/22|12/06/22|E-1-22|||0|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1341042|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x21158021130>|Normal
8|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/hkp539/2022/10/20221004212059.590-3973DC33-EE70-4DE1-A-225x190c.jpeg?signature=F90F02B3B2ED0A0FF6A161E0FF13AE13173BFD972BDAD82C3C20855F264A9996|female|{'Normal'}|2020|1305g|Live Rat|RP Reptiles|Palm Beach Gardens, Florida|US$200.00|Credit Card, Debit Card, PayPal Goods & Services, Venmo, Zelle, Apple Pay, Cash|50.00-100.00 (Domestic)|No Trades|10/04/22|12/05/22|NormF||Domestically Produced|2|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1210265|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x211580217F0>|Normal
9|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/wardsworldofreptiles/2022/08/20220806213248.793-IMG_7822-225x190c.jpeg?signature=AB8B9B29FD1AFBFFB4F7401DB21C04314BC186380B564DA004D7265B1708116C|male|{'Normal'}|2022|80g|Live Mouse|WWORP|Tampa, Florida|US$50.00|Credit Card|25.00-65.00 (Domestic)||08/06/22|12/05/22|109ball2022|||3|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1062847|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x2115918D940>|Normal
