|img_url|sex|traits|birth|weight|diet|breeder|location|price|payments|shipping|trades|first_posted|last_updated|animal_id|group_id|origin|num_likes|snake_url|img|title
0|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/superred1965/2022/12/20221207114021.667-20221207_113832-225x190c.jpeg?signature=45E7EAAE930EB698E700FD86D3A3C3BF69CC014D6623234EE93F79BB54761FC2|female|{'Piebald'}|2015|2600g|Frozen/Thawed Rat|Krr|Sunderland, England|GB£300.00 (Approx. US$363.88)|PayPal Friends & Family|55.00-65.00 (Domestic)||12/07/22|12/07/22|Pied/femcb15||Domestically Produced|0|https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1343059|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x211591E0B20>|Xmas Sale Pied Female £300
1|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/sassyscales/2022/11/20221109022102.48-20221107_122100-225x190c.jpeg?signature=82781061A0F2FC80E5B8D4256F34C4E28681C462748263E83D4B072E8C3392B8|female|{'Piebald'}|2022|102g|Live Rat|Sassy Scales|Oklahoma City, Oklahoma|US$350.00|PayPal Goods & Services, PayPal Friends & Family, CashApp, Cash, Money Order|75.00-100.00 (Domestic)|No Trades|11/09/22|12/07/22|22129|22-22||1|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1293810|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x2115808FF10>|Pied
2|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/sassyscales/2022/11/20221109021745.605-20221107_121601-225x190c.jpeg?signature=33751F64919BAF5CE4B57E21F4F5978782D2F212E8CE23E5B3B983D039CE641E|female|{'Piebald'}|2022|112g|Live Rat|Sassy Scales|Oklahoma City, Oklahoma|US$350.00|PayPal Goods & Services, PayPal Friends & Family, CashApp, Cash, Money Order|75.00-100.00 (Domestic)|No Trades|11/09/22|12/07/22|22128|22-22||1|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1293801|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x21157D105E0>|Pied
3|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/sassyscales/2022/11/20221109021021.932-20221107_120448-225x190c.jpeg?signature=99F1BA994173FC696B68944954ECF574D577A36DD8691386D7FBE91152EFDB45|male|{'Piebald'}|2022|128g|Live Rat|Sassy Scales|Oklahoma City, Oklahoma|US$300.00|PayPal Goods & Services, PayPal Friends & Family, CashApp, Cash, Money Order|75.00-100.00 (Domestic)|No Trades|11/09/22|12/07/22|22126|22-22||0|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1293790|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x21157CEFE80>|Pied
4|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/sassyscales/2022/11/20221109020219.79-20221107_115729-225x190c.jpeg?signature=96C15569038B6EE43DCF45CBE363AE463E0030A5558E31667734751CB4BFC7A7|male|{'Piebald'}|2022|110g|Live Rat|Sassy Scales|Oklahoma City, Oklahoma|US$300.00|PayPal Goods & Services, PayPal Friends & Family, CashApp, Cash, Money Order|75.00-100.00 (Domestic)|No Trades|11/09/22|12/07/22|22125|22-22||0|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1293775|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x21159278640>|Pied
5|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/sassyscales/2022/11/20221108232735.507-20221107_115135-225x190c.jpeg?signature=46A076EEF505D9B10CC6982C4F7D7BA2F654EE846F217A544E97C6B5A8CD5C9D|male|{'Piebald'}|2022|100g|Live Rat|Sassy Scales|Oklahoma City, Oklahoma|US$300.00|PayPal Goods & Services, PayPal Friends & Family, CashApp, Cash, Money Order|75.00-100.00 (Domestic)|No Trades|11/08/22|12/07/22|22124|22-22||2|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1293567|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x211590F83A0>|Pied
6|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/rubiconreptiles/2022/11/20221108182833.551-thumbnail_IMG_3139-225x190c.jpeg?signature=3393B98FA44B99FE84332745420334B81F8C4769A0F852FF1CCAB65DCB7A559F|male|{'Piebald'}|1st September 2022||Live Rat|RR|Fort Mill, South Carolina|US$300.00||60.00-80.00 (Domestic)|Will Consider|11/08/22|12/07/22|BPM22X|||0|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1292824|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x211580CE190>|Pied
7|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/precisionpythons/2022/11/20221112123626.134-12Pied00F01a-225x190c.jpeg?signature=9D08B426CDD2BD927B1E96EB0F6799EDA94991C115774CEFAE5A2D12DEC7CCE7|female|{'Piebald'}|2012|2185g|Frozen/Thawed Rat|PrecisionPython|Hampton, Virginia|US$1,500.00|PayPal Goods & Services, PayPal Friends & Family, Venmo, Zelle, CashApp, Personal Check, Cashier's Check, Cash, Money Order||No Trades|11/12/22|12/07/22|12Pied00F01|2012_C00||4|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1299813|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x211592787C0>|Proven Pied Female
8|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/aisreptiles/2022/08/20220808001343.80-6D3C6A50-FC3D-410C-9-225x190c.jpeg?signature=2FB6385893E4C90BD8537531880D44FF30F4F2E6065244A3F319C3A34F029DF8|female|{'Piebald'}|10th June 2022|108g|Live Rat|Piedtopia|Chesapeake City, Maryland|US$300.00|Credit Card, Debit Card, Zelle, CashApp, Personal Check, Cashier's Check, Wire Transfer, Cash, Money Order|At Most 69.00 (Domestic)|No Trades|08/08/22|12/07/22|0144|||5|https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/1065512|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x2115803C1F0>|Low White But Very Colorful Female Pied
9|https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/pied_pythons/2022/08/20220831150652.733-301870668_1309277019-225x190c.jpeg?signature=5B437649334D7A5B79042C09AFA5BB5B14C6503AD549636B4DD4321727600C1E|male|{'Piebald'}||100g|Frozen/Thawed Mouse|Pied Pythons|Brentwood, England|GB£195.00 (Approx. US$236.52)||45.00-65.00 (Domestic)||08/31/22|12/07/22|22096|||1|https://www.morphmarket.com/gb/c/reptiles/pythons/ball-pythons/1123712|<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x190 at 0x211590F8E80>|Pied
